8  50  
-1.66796  -0.747673  -0.210147  
-1.80633  -0.837037  -0.29771  
-1.85478  -1.01675  -0.451873  
-1.95101  -1.22309  -0.583818  
-2.46835  -1.53662  -0.708926  
-2.60504  -1.50669  -0.724631  
-2.66542  -1.54604  -0.755385  
-2.73438  -1.60853  -0.769094  
-2.76937  -1.62892  -0.784671  
-2.78201  -1.63505  -0.78895  
-2.7982  -1.64379  -0.795474  
-2.80315  -1.64255  -0.79328  
-2.81504  -1.64903  -0.798173  
-2.82421  -1.65518  -0.781276  
-2.84465  -1.67238  -0.789982  
-2.84531  -1.67163  -0.789164  
-2.82766  -1.6504  -0.795011  
-2.83799  -1.65779  -0.783299  
-2.83411  -1.65478  -0.79964  
-2.84183  -1.66007  -0.784402  
-2.84132  -1.6599  -0.784273  
-2.84285  -1.66101  -0.784793  
-2.85018  -1.6669  -0.787505  
-2.84488  -1.6622  -0.785375  
-2.84651  -1.66378  -0.786067  
-2.84697  -1.66392  -0.786153  
-2.84431  -1.66152  -0.785065  
-2.84619  -1.66274  -0.785663  
-2.86866  -1.68857  -0.799801  
-2.86347  -1.68442  -0.797112  
-2.86453  -1.68474  -0.797134  
-2.86515  -1.68541  -0.797632  
-2.86808  -1.68659  -0.797984  
-2.86821  -1.68693  -0.798291  
-2.86852  -1.68722  -0.798496  
-2.86883  -1.68754  -0.798728  
-2.86924  -1.68789  -0.798967  
-2.86915  -1.68777  -0.798872  
-2.86916  -1.68782  -0.798922  
-2.86892  -1.68766  -0.798823  
-2.86928  -1.68792  -0.798983  
-2.86892  -1.6877  -0.798865  
-2.8692  -1.68786  -0.798955  
-2.86898  -1.68761  -0.798762  
-2.86926  -1.68784  -0.79891  
-2.86907  -1.6877  -0.798827  
-2.8691  -1.68776  -0.798873  
-2.86913  -1.68767  -0.798784  
-2.86981  -1.68827  -0.799187  
-2.87045  -1.68906  -0.799795  
-3.27418  -1.81766  -0.791703  
-3.64212  -2.02921  -0.933166  
-3.89645  -2.11736  -0.952598  
-4.57187  -2.53761  -1.14638  
-4.79906  -2.64616  -1.19582  
-4.91781  -2.69253  -1.21777  
-5.04099  -2.76219  -1.26118  
-5.1137  -2.78742  -1.26856  
-5.14998  -2.79371  -1.27138  
-5.18747  -2.80571  -1.27477  
-5.20493  -2.8049  -1.27144  
-5.23074  -2.81305  -1.27343  
-5.2508  -2.82072  -1.27714  
-5.28414  -2.84103  -1.28584  
-5.28917  -2.83983  -1.28532  
-5.26954  -2.81433  -1.26707  
-5.28533  -2.82595  -1.27297  
-5.28146  -2.82063  -1.27004  
-5.29416  -2.82867  -1.27426  
-5.29479  -2.82783  -1.27465  
-5.29753  -2.82915  -1.2749  
-5.3095  -2.83665  -1.27742  
-5.30283  -2.8305  -1.27527  
-5.30436  -2.83299  -1.27656  
-5.30583  -2.83331  -1.27649  
-5.30369  -2.82951  -1.27533  
-5.3058  -2.83178  -1.27481  
-5.33872  -2.86036  -1.29383  
-5.33049  -2.85527  -1.29225  
-5.33282  -2.85643  -1.29109  
-5.33381  -2.85707  -1.29201  
-5.33819  -2.85859  -1.29144  
-5.33919  -2.85852  -1.29256  
-5.33968  -2.85866  -1.29272  
-5.33953  -2.85982  -1.29232  
-5.34092  -2.86025  -1.29313  
-5.34105  -2.85998  -1.29288  
-5.3408  -2.86026  -1.29335  
-5.33982  -2.85988  -1.29306  
-5.34092  -2.86018  -1.29337  
-5.33984  -2.85923  -1.2933  
-5.3405  -2.86023  -1.29309  
-5.3406  -2.85855  -1.29313  
-5.34102  -2.86009  -1.29317  
-5.3406  -2.85932  -1.29312  
-5.34055  -2.86006  -1.29324  
-5.34121  -2.85852  -1.29322  
-5.34221  -2.86069  -1.29319  
-5.34247  -2.86155  -1.29392  
-5.34262  -2.86115  -1.29445  
